Date,close,open,high,low,change,volume
2010-12-28,27090,165,26975,27195,26975,22516000000
2010-12-29,27400,310,27105,27400,27105,48980000000
2010-12-30,27550,150,27440,27550,27405,45626000000
2011-01-03,27735,185,27625,27735,27600,23944000000
2011-01-04,27915,180,27810,27915,27725,49503000000
2011-01-05,27935,20,27890,27945,27850,48342000000
2011-01-06,27850,-85,27975,28050,27720,29237000000
2011-01-07,27950,100,27765,27970,27735,27547000000
2011-01-10,27760,-190,27900,27930,27665,34452000000
2011-01-11,27900,140,27780,27900,27510,42784000000
2011-01-12,27980,80,27900,28010,27840,33661000000
2011-01-13,28040,60,28070,28195,27845,55801000000
2011-01-14,28325,285,28050,28325,27800,33213000000
2011-01-17,28100,-225,28260,28335,28100,49073000000
2011-01-18,28020,-80,28100,28265,27980,47808000000
2011-01-19,28300,280,28100,28340,27895,33568000000
2011-01-20,28150,-150,28220,28245,28120,55577000000
2011-01-21,27625,-525,28120,28130,27620,60338000000
2011-01-24,27805,180,27625,27850,27570,46553000000
2011-01-25,27970,165,27975,28155,27880,22417000000
2011-01-26,28275,305,27970,28285,27970,59491000000
2011-01-27,28310,35,28300,28385,28245,18896000000
2011-01-28,28295,-15,28310,28350,28085,20790000000
2011-01-31,27775,-520,28110,28145,27770,27120000000
2011-02-01,27830,55,27880,27950,27780,17862000000
2011-02-07,27920,90,28145,28280,27880,52210000000
2011-02-08,27710,-210,28030,28030,27700,72172000000
2011-02-09,27400,-310,27760,27820,27320,35839000000
2011-02-10,27170,-230,27400,27400,26950,70917000000
2011-02-11,26495,-675,27095,27145,26410,71100000000
2011-02-14,27025,530,26760,27075,26660,59022000000
2011-02-15,26935,-90,27030,27280,26850,22181000000
2011-02-16,26710,-225,26920,27160,26710,38577000000
2011-02-17,26595,-115,26800,26935,26375,55663000000
2011-02-18,27025,430,26640,27025,26625,55803000000
2011-02-21,26885,-140,26960,27030,26675,30836000000
2011-02-22,26450,-435,26805,26805,26340,89037000000
2011-02-23,26490,40,26370,26615,26290,32441000000
2011-02-24,26270,-220,26395,26520,26215,20359000000
2011-02-25,26400,130,26295,26400,26165,52724000000
2011-02-28,26110,-290,26400,26400,26095,46003000000
2011-03-02,25975,-135,26000,26130,25880,40654000000
2011-03-03,26490,515,26090,26490,26090,31893000000
2011-03-04,27035,545,26690,27065,26680,80532000000
2011-03-07,26545,-490,27020,27025,26545,47177000000
2011-03-08,26835,290,26520,26990,26520,26063000000
2011-03-09,26875,40,26960,27120,26745,50559000000
2011-03-10,26635,-240,26860,26900,26455,58364000000
2011-03-11,26190,-445,26430,26430,26125,98726000000
2011-03-14,26540,350,26280,26540,25975,55836000000
2011-03-15,25895,-645,26400,26745,25485,101924000000
2011-03-16,26490,595,26190,26535,26065,96046000000
2011-03-17,26475,-15,26100,26510,26000,38750000000
2011-03-18,26720,245,26520,26835,26440,39535000000
2011-03-21,26955,235,26765,26970,26200,48958000000
2011-03-22,27075,120,27045,27085,26960,46370000000
2011-03-23,27055,-20,27075,27185,26940,178798000000
2011-03-24,27405,350,27170,27410,27155,52956000000
2011-03-25,27690,285,27625,27715,27550,46179000000
2011-03-28,27740,50,27690,27745,27615,22591000000
2011-03-29,27950,210,27740,27950,27660,33520000000
2011-03-30,28275,325,28000,28385,28000,53793000000
